A,Method,Horizon,phi,LT,AR,OFR,VI,BO,EI
0,ES,One-step,0.0,2,2.0595860808745674,0.9663806812645944,1.6689391445337622,3.667958512316152,11.03045900077757
0,ES,One-step,0.0,10,31.708786895587057,0.9409919661022684,39.1994948625335,6.084559390853104,69.22901198569899
0,MA,One-step,0.0,2,1.496741468525644,0.9691720546254492,1.3601070704741332,3.365962666088952,10.126940248392218
0,MA,One-step,0.0,10,14.21081885540691,0.9497923194824232,31.455827466813272,5.211271644732656,58.12997233010417
0,LightGBM,One-step,0.0,2,3.6145948104297374,0.9677215419308138,1.7389475052148509,3.4758046831921834,11.80410457562684
0,LightGBM,One-step,0.0,10,32.93568033230572,0.9597953233589596,20.822704076121948,4.136039321675478,54.11599346929204
0,LightGBM,H-step,0.0,2,1.7120943225803589,0.9749990853236008,1.175931365630026,2.7589812006030323,9.674827833244706
0,LightGBM,H-step,0.0,10,2.824313519884502,0.9850430077683092,4.449437746035704,1.623681555136892,23.78353323240687
0,LSTM,One-step,0.0,2,1.26028409765741,0.9731327673710798,1.031512000428452,2.963365660599149,8.769850357955061
0,LSTM,One-step,0.0,10,1.3325450954293123,0.9802183470497674,4.836357297636337,2.1449488213099666,23.01206073373792
0,LSTM,H-step,0.0,2,1.2973566766825757,0.9741419359885268,1.066755847157151,2.852689804924492,9.049532296839288
0,LSTM,H-step,0.0,10,1.7864289774822748,0.9822943030383232,4.841832607465345,1.9226796769501735,23.68109860682233
0,ES,One-step,0.3,2,2.1165503198498694,0.96364569849827,1.8046217483953615,3.989651277763509,12.010666224129912
0,ES,One-step,0.3,10,30.186110618353844,0.9297083892211186,56.26900555553235,7.263612018215728,82.73645443693617
0,MA,One-step,0.3,2,1.5164822439401864,0.965862082996731,1.5433796051944022,3.758541206962428,11.324428833865056
0,MA,One-step,0.3,10,16.304786147146178,0.9377164475084498,48.10547118381559,6.453016986276619,72.27760524442095
0,LightGBM,One-step,0.3,2,2.7804839796889698,0.9662983449631206,1.654136780603183,3.701590439495779,12.097018122614111
0,LightGBM,One-step,0.3,10,29.159135422647903,0.9470622552444704,32.82855734729047,5.487462159055121,67.24522419375913
0,LightGBM,H-step,0.3,2,1.6477534581434172,0.9729027609121595,1.2702786193162752,3.023496219945772,10.170098426590046
0,LightGBM,H-step,0.3,10,3.09474055841991,0.9804002724614534,8.288129778047853,2.125568831320555,30.464480086954584
0,LSTM,One-step,0.3,2,1.3581171275421844,0.9714954601748472,1.2840419044733271,3.192560710339779,10.334597342586656
0,LSTM,One-step,0.3,10,9.016507381118355,0.963361727323184,16.71929975177898,3.878362296271193,46.68858378488195
0,LSTM,H-step,0.3,2,1.1606913075619711,0.9720714797272104,1.146536796675914,3.1299828525156688,9.817033580164024
0,LSTM,H-step,0.3,10,1.842287268055138,0.9785690299799816,7.985681370162005,2.356264390063435,30.96163582398027
0,ES,One-step,0.6,2,1.852219110839471,0.9604533732963896,1.5327035942508445,4.359476839396241,13.168264951056091
0,ES,One-step,0.6,10,23.82070785851779,0.9129900983253862,69.50326751764844,9.16813500439685,105.23029833515054
0,MA,One-step,0.6,2,1.4627084879703498,0.961263691184148,1.509207910294305,4.30097905393222,13.012447103472129
